date,store_id,category_id,sales_qty,sales_revenue
2018-01-01,1,1,59,156.43
2018-01-02,1,1,48,189.19
2018-01-03,1,1,52,371.66
2018-01-04,1,1,51,237.5
2018-01-05,1,1,48,411.45
2018-01-06,1,1,63,216.26
2018-01-07,1,1,62,529.85
2018-01-08,1,1,44,343.75
2018-01-09,1,1,44,329.72
2018-01-10,1,1,42,184.58
2018-01-11,1,1,51,187.42
2018-01-12,1,1,58,266.27
2018-01-13,1,1,54,308.93
2018-01-14,1,1,52,328.15
2018-01-15,1,1,52,394.51
2018-01-16,1,1,46,388.47
2018-01-17,1,1,52,367.6
2018-01-18,1,1,41,213.52
2018-01-19,1,1,54,361.94
2018-01-20,1,1,55,483.36
2018-01-21,1,1,64,544.78
2018-01-22,1,1,47,376.9
2018-01-23,1,1,48,272.68
2018-01-24,1,1,50,232.07
2018-01-25,1,1,45,238.91
2018-01-26,1,1,47,193.57
2018-01-27,1,1,60,287.65
2018-01-28,1,1,56,455.41
2018-01-29,1,1,48,202.02
2018-01-30,1,1,50,411.77
2018-01-31,1,1,53,303.4
2018-02-01,1,1,44,376.14
2018-02-02,1,1,41,153.94
2018-02-03,1,1,56,473.16
2018-02-04,1,1,46,128.27
2018-02-05,1,1,37,256.75
2018-02-06,1,1,45,168.17
2018-02-07,1,1,42,214.82
2018-02-08,1,1,48,291.74
2018-02-09,1,1,35,217.12
2018-02-10,1,1,56,236.66
2018-02-11,1,1,52,205.82
2018-02-12,1,1,40,289.11
2018-02-13,1,1,47,421.38
2018-02-14,1,1,42,234.0
2018-02-15,1,1,40,293.35
2018-02-16,1,1,43,321.92
2018-02-17,1,1,47,167.1
2018-02-18,1,1,45,257.95
2018-02-19,1,1,43,402.56
2018-02-20,1,1,44,252.54
2018-02-21,1,1,45,401.28
2018-02-22,1,1,45,263.39
2018-02-23,1,1,49,272.09
2018-02-24,1,1,43,339.88
2018-02-25,1,1,45,337.98
2018-02-26,1,1,43,344.03
2018-02-27,1,1,39,299.14
2018-02-28,1,1,38,168.45
2018-03-01,1,1,36,316.19
2018-03-02,1,1,42,145.96
2018-03-03,1,1,53,183.52
2018-03-04,1,1,45,273.73
2018-03-05,1,1,40,172.62
2018-03-06,1,1,41,195.48
2018-03-07,1,1,41,293.51
2018-03-08,1,1,42,203.13
2018-03-09,1,1,33,102.91
2018-03-10,1,1,48,193.34
2018-03-11,1,1,48,141.06
2018-03-12,1,1,41,181.21
2018-03-13,1,1,48,392.1
2018-03-14,1,1,37,181.07
2018-03-15,1,1,39,281.17
2018-03-16,1,1,37,320.72
2018-03-17,1,1,45,282.33
2018-03-18,1,1,52,229.72
2018-03-19,1,1,43,268.06
2018-03-20,1,1,44,172.3
2018-03-21,1,1,46,427.6
2018-03-22,1,1,41,373.55
2018-03-23,1,1,40,189.38
2018-03-24,1,1,45,417.63
2018-03-25,1,1,56,295.12
2018-03-26,1,1,43,175.7
2018-03-27,1,1,41,251.58
2018-03-28,1,1,38,311.81
2018-03-29,1,1,43,397.2
2018-03-30,1,1,35,248.19
2018-03-31,1,1,60,316.21
2018-04-01,1,1,45,160.65
2018-04-02,1,1,52,441.04
2018-04-03,1,1,40,110.43
2018-04-04,1,1,42,239.04
2018-04-05,1,1,46,135.41
2018-04-06,1,1,41,103.37
2018-04-07,1,1,57,462.36
2018-04-08,1,1,56,229.63
2018-04-09,1,1,59,268.8
2018-04-10,1,1,48,244.06
2018-04-11,1,1,43,334.19
2018-04-12,1,1,44,335.0
2018-04-13,1,1,49,296.55
2018-04-14,1,1,51,293.75
2018-04-15,1,1,59,509.32
2018-04-16,1,1,39,368.67
2018-04-17,1,1,47,131.83
2018-04-18,1,1,45,378.25
2018-04-19,1,1,41,190.6
2018-04-20,1,1,55,161.12
2018-04-21,1,1,59,457.93
2018-04-22,1,1,59,521.74
2018-04-23,1,1,50,134.75
2018-04-24,1,1,50,363.04
2018-04-25,1,1,49,322.41
2018-04-26,1,1,46,186.59
2018-04-27,1,1,55,514.34
2018-04-28,1,1,58,416.52
2018-04-29,1,1,55,207.91
2018-04-30,1,1,50,313.31
2018-05-01,1,1,45,314.23
2018-05-02,1,1,55,476.23
2018-05-03,1,1,53,394.51
2018-05-04,1,1,59,284.19
2018-05-05,1,1,72,202.85
2018-05-06,1,1,68,187.44
2018-05-07,1,1,58,317.7
2018-05-08,1,1,50,426.73
2018-05-09,1,1,48,416.54
2018-05-10,1,1,48,247.39
2018-05-11,1,1,62,300.83
2018-05-12,1,1,65,164.76
2018-05-13,1,1,54,306.57
2018-05-14,1,1,60,272.86
2018-05-15,1,1,55,451.97
2018-05-16,1,1,68,343.05
2018-05-17,1,1,57,448.87
2018-05-18,1,1,47,425.26
2018-05-19,1,1,67,347.41
2018-05-20,1,1,68,524.1
2018-05-21,1,1,65,396.56
2018-05-22,1,1,61,294.82
2018-05-23,1,1,66,456.72
2018-05-24,1,1,62,164.35
2018-05-25,1,1,56,273.2
2018-05-26,1,1,57,203.79
2018-05-27,1,1,68,315.69
2018-05-28,1,1,60,553.95
2018-05-29,1,1,60,201.07
2018-05-30,1,1,65,594.3
2018-05-31,1,1,60,172.32
2018-06-01,1,1,65,218.94
2018-06-02,1,1,62,252.82
2018-06-03,1,1,71,222.81
2018-06-04,1,1,52,385.96
2018-06-05,1,1,69,392.16
2018-06-06,1,1,58,237.07
2018-06-07,1,1,68,619.4
2018-06-08,1,1,65,607.91
2018-06-09,1,1,84,719.2
2018-06-10,1,1,79,261.95
2018-06-11,1,1,72,496.51
2018-06-12,1,1,65,402.82
2018-06-13,1,1,70,225.72
2018-06-14,1,1,61,539.18
2018-06-15,1,1,64,605.9
2018-06-16,1,1,83,521.99
2018-06-17,1,1,87,444.0
2018-06-18,1,1,75,205.7
2018-06-19,1,1,63,545.89
2018-06-20,1,1,58,457.85
2018-06-21,1,1,63,361.06
2018-06-22,1,1,70,608.82
2018-06-23,1,1,91,557.15
2018-06-24,1,1,82,628.19
2018-06-25,1,1,73,396.26
2018-06-26,1,1,74,698.55
2018-06-27,1,1,67,563.57
2018-06-28,1,1,68,202.97
2018-06-29,1,1,83,316.47
2018-06-30,1,1,90,783.86
2018-07-01,1,1,100,930.78
2018-07-02,1,1,75,294.13
2018-07-03,1,1,77,601.08
2018-07-04,1,1,85,494.01
2018-07-05,1,1,72,447.73
2018-07-06,1,1,64,556.35
2018-07-07,1,1,96,851.24
2018-07-08,1,1,105,703.17
2018-07-09,1,1,90,691.68
2018-07-10,1,1,69,223.22
2018-07-11,1,1,73,528.65
2018-07-12,1,1,92,737.39
2018-07-13,1,1,69,488.95
2018-07-14,1,1,97,854.71
2018-07-15,1,1,90,353.07
2018-07-16,1,1,72,424.19
2018-07-17,1,1,72,668.1
2018-07-18,1,1,66,540.02
2018-07-19,1,1,85,677.48
2018-07-20,1,1,66,442.25
2018-07-21,1,1,83,680.23
2018-07-22,1,1,89,257.22
2018-07-23,1,1,82,654.88
2018-07-24,1,1,75,313.79
2018-07-25,1,1,78,628.71
2018-07-26,1,1,82,407.59
2018-07-27,1,1,75,437.09
2018-07-28,1,1,74,333.47
2018-07-29,1,1,96,664.37
2018-07-30,1,1,70,274.67
2018-07-31,1,1,72,665.26
2018-08-01,1,1,66,365.31
2018-08-02,1,1,69,472.3
2018-08-03,1,1,86,327.88
2018-08-04,1,1,103,785.89
2018-08-05,1,1,92,857.01
2018-08-06,1,1,72,552.53
2018-08-07,1,1,81,501.32
2018-08-08,1,1,86,330.42
2018-08-09,1,1,88,788.07
2018-08-10,1,1,90,741.36
2018-08-11,1,1,104,802.74
2018-08-12,1,1,88,820.85
2018-08-13,1,1,72,578.33
2018-08-14,1,1,93,243.95
2018-08-15,1,1,102,451.39
2018-08-16,1,1,92,479.83
2018-08-17,1,1,83,627.04
2018-08-18,1,1,75,484.44
2018-08-19,1,1,100,444.54
2018-08-20,1,1,107,524.67
2018-08-21,1,1,87,724.24
2018-08-22,1,1,91,461.58
2018-08-23,1,1,86,380.64
2018-08-24,1,1,91,675.88
2018-08-25,1,1,106,639.96
2018-08-26,1,1,86,247.52
2018-08-27,1,1,80,230.47
2018-08-28,1,1,91,408.18
2018-08-29,1,1,98,671.68
2018-08-30,1,1,107,374.31
2018-08-31,1,1,78,214.43
2018-09-01,1,1,106,995.83
2018-09-02,1,1,96,426.21
2018-09-03,1,1,79,337.99
2018-09-04,1,1,95,885.76
2018-09-05,1,1,94,291.62
2018-09-06,1,1,83,386.13
2018-09-07,1,1,98,881.99
2018-09-08,1,1,92,399.42
2018-09-09,1,1,100,883.37
2018-09-10,1,1,89,814.59
2018-09-11,1,1,94,401.42
2018-09-12,1,1,89,375.34
2018-09-13,1,1,87,307.18
2018-09-14,1,1,83,562.16
2018-09-15,1,1,87,638.94
2018-09-16,1,1,100,295.21
2018-09-17,1,1,101,947.9
2018-09-18,1,1,94,403.41
2018-09-19,1,1,89,543.4
2018-09-20,1,1,81,208.87
2018-09-21,1,1,80,250.19
2018-09-22,1,1,109,281.64
2018-09-23,1,1,106,827.78
2018-09-24,1,1,82,450.85
2018-09-25,1,1,86,399.37
2018-09-26,1,1,79,346.59
2018-09-27,1,1,88,533.99
2018-09-28,1,1,84,324.24
2018-09-29,1,1,102,840.8
2018-09-30,1,1,104,656.55
2018-10-01,1,1,67,438.65
2018-10-02,1,1,71,234.87
2018-10-03,1,1,87,422.33
2018-10-04,1,1,75,194.08
2018-10-05,1,1,78,260.27
2018-10-06,1,1,105,962.18
2018-10-07,1,1,119,679.15
2018-10-08,1,1,84,234.0
2018-10-09,1,1,90,268.42
2018-10-10,1,1,84,505.78
2018-10-11,1,1,80,251.46
2018-10-12,1,1,76,491.76
2018-10-13,1,1,93,789.9
2018-10-14,1,1,107,500.08
2018-10-15,1,1,74,553.76
2018-10-16,1,1,82,748.17
2018-10-17,1,1,74,299.08
2018-10-18,1,1,79,411.26
2018-10-19,1,1,77,256.41
2018-10-20,1,1,92,848.11
2018-10-21,1,1,96,841.59
2018-10-22,1,1,75,361.52
2018-10-23,1,1,77,481.44
2018-10-24,1,1,77,514.59
2018-10-25,1,1,67,366.43
2018-10-26,1,1,82,775.52
2018-10-27,1,1,95,516.59
2018-10-28,1,1,88,266.5
2018-10-29,1,1,82,266.52
2018-10-30,1,1,73,266.04
2018-10-31,1,1,98,539.45
2018-11-01,1,1,67,245.47
2018-11-02,1,1,77,534.71
2018-11-03,1,1,83,213.82
2018-11-04,1,1,84,347.34
2018-11-05,1,1,79,392.31
2018-11-06,1,1,73,201.26
2018-11-07,1,1,74,477.09
2018-11-08,1,1,75,401.11
2018-11-09,1,1,85,587.4
2018-11-10,1,1,94,828.01
2018-11-11,1,1,79,344.14
2018-11-12,1,1,72,647.46
2018-11-13,1,1,65,570.17
2018-11-14,1,1,70,459.48
2018-11-15,1,1,66,322.5
2018-11-16,1,1,70,455.04
2018-11-17,1,1,84,540.64
2018-11-18,1,1,94,274.77
2018-11-19,1,1,62,475.84
2018-11-20,1,1,59,331.53
2018-11-21,1,1,70,286.07
2018-11-22,1,1,45,346.37
2018-11-23,1,1,71,283.76
2018-11-24,1,1,80,463.52
2018-11-25,1,1,79,321.59
2018-11-26,1,1,56,250.51
2018-11-27,1,1,68,339.93
2018-11-28,1,1,57,160.57
2018-11-29,1,1,62,246.58
2018-11-30,1,1,61,447.99
2018-12-01,1,1,72,439.08
2018-12-02,1,1,81,227.57
2018-12-03,1,1,42,226.69
2018-12-04,1,1,64,578.23
