receipt_id,line_number,sale_datetime,store_id,store_name,store_address,store_city,store_state,store_zip,cashier_name,tender_type,customer_segment,product_upc,product_name,brand,department_name,category_name,size,unit,vendor_name,vendor_phone,pack_size,regular_price,unit_cost,quantity,promo_type,promo_id,unit_price_effective,line_subtotal,tax_amount,weekend_flag
101-20240701-0001,1,01-Jul-2024 08:45,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Casey,Credit,Member,648236629946,Sun Valley Tomato Sauce,Sun Valley,Grocery,Tomato Sauce,12 oz,oz,Bulk Barn West,206-555-0115,4,8.37,5.36,1,,,8.37,8.37,0.0,False
101-20240701-0001,2,01-Jul-2024 08:45,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Casey,Credit,Member,883561595148,Frontier Foods Olive Oil,Frontier Foods,Grocery,Olive Oil,12 oz,oz,Evergreen Organics,206-555-0110,1,1.85,1.2,1,PCT_OFF,PR1835148,1.39,1.39,0.0,False
101-20240701-0001,3,01-Jul-2024 08:45,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Casey,Credit,Member,369957773872,Frontier Foods Peanut Butter,Frontier Foods,Grocery,Peanut Butter,48 oz,oz,Sunrise Wellness,206-555-0114,6,16.74,10.94,1,,,16.74,16.74,0.0,False
101-20240701-0001,4,01-Jul-2024 08:45,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Casey,Credit,Member,883561595148,Frontier Foods Olive Oil,Frontier Foods,Grocery,Olive Oil,12 oz,oz,Evergreen Organics,206-555-0110,1,1.85,1.2,2,PCT_OFF,PR1835148,1.39,2.78,0.0,False
101-20240701-0001,5,01-Jul-2024 08:45,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Casey,Credit,Member,931034131647,Rainshadow Produce Spinach,Rainshadow Produce,Produce,Spinach,3 lb,lb,Bulk Barn West,206-555-0115,6,1.15,0.84,1,,,1.15,1.15,0.0,False
101-20240701-0001,6,01-Jul-2024 08:45,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Casey,Credit,Member,831727889579,Sun Valley Tortillas,Sun Valley,Grocery,Tortillas,12 oz,oz,Evergreen Organics,206-555-0110,6,2.41,1.8,1,LOYALTY_PCT,PR1839579,1.93,1.93,0.0,False
101-20240701-0001,7,01-Jul-2024 08:45,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Casey,Credit,Member,936763201632,Frontier Foods Cereal,Frontier Foods,Grocery,Cereal,12 oz,oz,Ocean Crest Seafood,206-555-0116,6,3.67,2.64,1,,,3.67,3.67,0.0,False
101-20240701-0002,1,01-Jul-2024 09:16,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Sam,Credit,Member,196556981693,Sun Valley Spaghetti,Sun Valley,Grocery,Spaghetti,48 oz,oz,Evergreen Organics,206-555-0110,1,2.67,1.68,2,,,2.67,5.34,0.0,False
101-20240701-0002,2,01-Jul-2024 09:16,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Sam,Credit,Member,883561595148,Frontier Foods Olive Oil,Frontier Foods,Grocery,Olive Oil,12 oz,oz,Evergreen Organics,206-555-0110,1,1.85,1.2,1,PCT_OFF,PR1835148,1.39,1.39,0.0,False
101-20240701-0002,3,01-Jul-2024 09:16,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Sam,Credit,Member,386379402654,Evergreen Farms Bananas,Evergreen Farms,Produce,Bananas,1 lb,lb,Frontier Foods Wholesale,206-555-0118,1,5.33,3.68,2,,,5.33,10.66,0.0,False
101-20240701-0002,4,01-Jul-2024 09:16,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Sam,Credit,Member,208121913619,Skyline Dairy Cream,Skyline Dairy,Dairy,Cream,16 oz,oz,Frontier Foods Wholesale,206-555-0118,1,3.47,2.13,1,,,3.47,3.47,0.0,False
101-20240701-0003,1,01-Jul-2024 14:31,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Taylor,Credit,Member,727743487347,Sun Valley Quinoa,Sun Valley,Grocery,Quinoa,12 oz,oz,Frontier Foods Wholesale,206-555-0118,1,15.66,9.86,1,,,15.66,15.66,0.0,False
101-20240701-0003,2,01-Jul-2024 14:31,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Taylor,Credit,Member,566701065133,Cascadia Creamery Cheddar Cheese,Cascadia Creamery,Dairy,Cheddar Cheese,8 oz,oz,Ocean Crest Seafood,206-555-0116,1,5.34,3.24,1,,,5.34,5.34,0.0,False
101-20240701-0003,3,01-Jul-2024 14:31,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Taylor,Credit,Member,883561595148,Frontier Foods Olive Oil,Frontier Foods,Grocery,Olive Oil,12 oz,oz,Evergreen Organics,206-555-0110,1,1.85,1.2,1,PCT_OFF,PR1835148,1.39,1.39,0.0,False
101-20240701-0003,4,01-Jul-2024 14:31,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Taylor,Credit,Member,931034131647,Rainshadow Produce Spinach,Rainshadow Produce,Produce,Spinach,3 lb,lb,Bulk Barn West,206-555-0115,6,1.15,0.84,1,,,1.15,1.15,0.0,False
101-20240701-0003,5,01-Jul-2024 14:31,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Taylor,Credit,Member,303911718227,Skyline Dairy Milk 2%,Skyline Dairy,Dairy,Milk 2%,12 ct,ct,Sunrise Wellness,206-555-0114,4,5.47,3.4,2,,,5.47,10.94,0.0,False
101-20240701-0004,1,01-Jul-2024 19:51,101,Greenway - Northside,1201 Maple Ave,Everton,WA,98111,Morgan,SNAP,Member,883561595148,Frontier Foods Olive Oil,Frontier Foods,Grocery,Olive Oil,12 oz,oz,Evergreen Organics,206-555-0110,1,1.85,1.2,1,PCT_OFF,PR1835148,1.39,1.39,0.0,False
